Sample_geo_accession	Condition	Group
GSM1941674	No Diabetes Reversal	Pancreatic Islets
GSM1941676	No Diabetes Reversal	Pancreatic Islets
GSM1941677	No Diabetes Reversal	Pancreatic Islets
GSM1941678	No Diabetes Reversal	Pancreatic Islets
GSM1941679	No Diabetes Reversal	Pancreatic Islets
GSM1941683	No Diabetes Reversal	Pancreatic Islets
GSM1941685	No Diabetes Reversal	Pancreatic Islets
GSM1941687	No Diabetes Reversal	Pancreatic Islets
GSM1941688	No Diabetes Reversal	Pancreatic Islets
GSM1941700	No Diabetes Reversal	Pancreatic Islets
GSM1941704	No Diabetes Reversal	Pancreatic Islets
GSM1941706	No Diabetes Reversal	Pancreatic Islets
GSM1941707	No Diabetes Reversal	Pancreatic Islets
GSM1941708	No Diabetes Reversal	Pancreatic Islets
GSM1941709	No Diabetes Reversal	Pancreatic Islets
GSM1941712	No Diabetes Reversal	Pancreatic Islets
GSM1941713	No Diabetes Reversal	Pancreatic Islets
GSM1941717	No Diabetes Reversal	Pancreatic Islets
GSM1941718	No Diabetes Reversal	Pancreatic Islets
GSM1941719	No Diabetes Reversal	Pancreatic Islets
GSM1941721	No Diabetes Reversal	Pancreatic Islets
GSM1941723	No Diabetes Reversal	Pancreatic Islets
GSM1941727	No Diabetes Reversal	Pancreatic Islets
GSM1941728	No Diabetes Reversal	Pancreatic Islets
GSM1941673	Diabetes Reversal	Pancreatic Islets
GSM1941675	Diabetes Reversal	Pancreatic Islets
GSM1941680	Diabetes Reversal	Pancreatic Islets
GSM1941681	Diabetes Reversal	Pancreatic Islets
GSM1941682	Diabetes Reversal	Pancreatic Islets
GSM1941684	Diabetes Reversal	Pancreatic Islets
GSM1941686	Diabetes Reversal	Pancreatic Islets
GSM1941689	Diabetes Reversal	Pancreatic Islets
GSM1941690	Diabetes Reversal	Pancreatic Islets
GSM1941691	Diabetes Reversal	Pancreatic Islets
GSM1941692	Diabetes Reversal	Pancreatic Islets
GSM1941693	Diabetes Reversal	Pancreatic Islets
GSM1941694	Diabetes Reversal	Pancreatic Islets
GSM1941695	Diabetes Reversal	Pancreatic Islets
GSM1941696	Diabetes Reversal	Pancreatic Islets
GSM1941697	Diabetes Reversal	Pancreatic Islets
GSM1941698	Diabetes Reversal	Pancreatic Islets
GSM1941699	Diabetes Reversal	Pancreatic Islets
GSM1941701	Diabetes Reversal	Pancreatic Islets
GSM1941702	Diabetes Reversal	Pancreatic Islets
GSM1941703	Diabetes Reversal	Pancreatic Islets
GSM1941705	Diabetes Reversal	Pancreatic Islets
GSM1941710	Diabetes Reversal	Pancreatic Islets
GSM1941711	Diabetes Reversal	Pancreatic Islets
GSM1941714	Diabetes Reversal	Pancreatic Islets
GSM1941715	Diabetes Reversal	Pancreatic Islets
GSM1941716	Diabetes Reversal	Pancreatic Islets
GSM1941720	Diabetes Reversal	Pancreatic Islets
GSM1941722	Diabetes Reversal	Pancreatic Islets
GSM1941724	Diabetes Reversal	Pancreatic Islets
GSM1941725	Diabetes Reversal	Pancreatic Islets
GSM1941726	Diabetes Reversal	Pancreatic Islets
GSM1941729	Diabetes Reversal	Pancreatic Islets
GSM1941730	Diabetes Reversal	Pancreatic Islets
GSM1941731	Diabetes Reversal	Pancreatic Islets
