Sample_geo_accession	Condition	Group
GSM4067526	control	EndoC-βH1 cells
GSM4067528	control	EndoC-βH1 cells
GSM4067530	control	EndoC-βH1 cells
GSM4067532	control	EndoC-βH1 cells
GSM4067534	control	EndoC-βH1 cells
GSM4067527	pro-inflammatory cytokine exposure	EndoC-βH1 cells
GSM4067529	pro-inflammatory cytokine exposure	EndoC-βH1 cells
GSM4067531	pro-inflammatory cytokine exposure	EndoC-βH1 cells
GSM4067533	pro-inflammatory cytokine exposure	EndoC-βH1 cells
GSM4067535	pro-inflammatory cytokine exposure	EndoC-βH1 cells
