gene_symbol	GSM1077116	GSM1077117	GSM1077110	GSM1077111	GSM1077115	GSM1077118	GSM1077119	GSM1077112	GSM1077114	GSM1077113
1060P11.3	4.668294270833333	4.790364583333333	4.847005208333333	4.781901041666667	4.749348958333333	4.891927083333333	4.46484375	4.436197916666667	4.873697916666667	5.099609375
A1BG	6.12890625	6.33203125	6.203125	6.3671875	6.17578125	6.109375	6.125	6.10546875	6.37890625	6.00390625
A1CF	7.71875	7.078125	7.8515625	7.96484375	6.453125	7.328125	8.03125	7.5	8.5078125	7.22265625
A2M	8.3515625	8.703125	7.1796875	7.38671875	8.796875	8.0859375	8.7578125	7.89453125	7.92578125	7.078125
A2ML1	5.31640625	5.64453125	4.296875	4.64453125	4.5390625	4.9765625	4.1875	4.01953125	4.3046875	4.96484375
A4GALT	5.828125	6.30078125	5.9296875	5.8671875	5.4765625	5.87109375	5.90625	5.84375	5.9296875	6.1328125
A4GNT	3.349609375	3.353515625	3.576171875	3.40625	3.505859375	3.462890625	3.375	2.833984375	3.654296875	3.689453125
AAAS	8.0703125	7.84375	8.5078125	8.140625	7.71875	8.46875	8.5234375	8.3046875	7.9921875	8.046875
AACS	8.0703125	7.73828125	8.3671875	8.078125	7.375	7.98828125	8.515625	8.171875	8.6953125	7.8046875
AADAC	6.2421875	6.3515625	6.17578125	6.7421875	6.62109375	7.38671875	7.203125	6.5625	4.18359375	8.40625
AADACL2	2.78125	3.09375	2.720703125	2.830078125	3.375	2.763671875	3.146484375	3.0390625	3.140625	3.462890625
AADACL3	3.998046875	3.458984375	3.6015625	3.09375	3.3046875	4.33984375	3.466796875	3.5078125	3.69140625	3.59375
AADACL4	3.322265625	3.359375	3.595703125	3.4375	3.63671875	3.490234375	3.501953125	3.32421875	3.111328125	3.126953125
AADAT	5.3203125	5.6796875	6.07421875	5.390625	6.1953125	5.25	5.91015625	5.91015625	5.91796875	4.9296875
AAED1	7.51171875	7.35546875	7.35546875	6.97265625	7.65234375	7.34375	7.5078125	7.0078125	7.61328125	6.76171875
AAGAB	8.5546875	8.6953125	8.3515625	8.375	8.8046875	8.375	8.359375	8.3671875	8.0625	8.0234375
AAK1	6.6171875	7.46484375	6.76953125	6.9296875	6.5625	7.015625	7.12890625	6.9375	6.8828125	5.953125
AAMDC	6.13671875	6.02734375	6.01953125	6.28125	6.29296875	6.0625	5.953125	6.21484375	6.24609375	5.7109375
AAMP	9.1328125	8.90625	9.046875	8.90625	9.2421875	9.0234375	9.09375	8.921875	9.125	8.8671875
AANAT	5.48828125	5.9140625	5.53515625	5.625	5.78515625	5.94140625	5.43359375	5.59375	5.5546875	6.27734375
AAR2	8.25	8.328125	7.9609375	7.99609375	8.515625	8.2890625	8.28125	7.97265625	7.96875	7.98828125
AARD	5.10546875	5.13671875	5.26953125	5.42578125	4.921875	5.05078125	5.234375	4.83984375	5.6796875	5.6171875
AARS	10.4375	10.703125	10.7578125	9.921875	9.65625	10.3203125	10.8359375	9.7265625	10.1328125	9.3046875
AARS2	6.73828125	6.56640625	7.078125	6.58203125	5.87890625	6.71484375	7.0546875	6.57421875	6.703125	6.41015625
AASDH	6.4609375	6.46875	6.91015625	6.8515625	6.3125	6.8671875	7.0625	6.80859375	7.02734375	6.05859375
AASDHPPT	8.828125	8.453125	8.84375	8.796875	8.6796875	8.7578125	8.9921875	8.828125	8.9609375	8.6875
AASS	6.859375	6.6796875	6.87109375	6.8125	6.66796875	6.875	7.2578125	6.89453125	7.0078125	6.28515625
AATBC	5.13671875	5.515625	5.24609375	5.65625	5.21484375	5.2265625	5.1796875	5.06640625	5.5625	5.9765625
AATF	8.5	8.4765625	8.5859375	8.109375	8.4375	8.5859375	8.734375	7.86328125	8.0625	8.21875
AATK	6.203125	6.33203125	6.31640625	6.65234375	6.3359375	6.38671875	6.0390625	6.1484375	6.43359375	6.94140625
AATK-AS1	6.23828125	6.23046875	6.17578125	6.3828125	6.37109375	6.28125	5.86328125	6.05078125	6.23828125	6.75
ABAT	7.9765625	8.0859375	8.1328125	8.28125	7.609375	8.078125	8.2890625	7.82421875	8.875	7.37890625
ABCA1	6.2265625	6.8515625	6.68359375	6.203125	7.5234375	6.875	6.92578125	6.81640625	6.82421875	6.2109375
ABCA11P	6.12890625	6.09765625	6.115234375	6.23828125	6.158203125	5.8515625	6.568359375	6.15234375	6.265625	5.490234375
ABCA12	4.63671875	5.64453125	3.62890625	3.591796875	3.80078125	4.40625	4.09375	3.755859375	3.748046875	4.01953125
ABCA13	3.958984375	4.3359375	3.94921875	4.0703125	4.02734375	4.08203125	4.21484375	4.078125	4.2109375	4.0390625
ABCA2	6.6875	6.921875	6.90625	6.91015625	6.765625	6.8984375	7.390625	7.05859375	7.40234375	6.6171875
ABCA3	6.80078125	7.38671875	7.21875	7.05078125	7.08203125	7.359375	7.87890625	7.12890625	7.55859375	6.7578125
ABCA4	4.01171875	4.02734375	3.78515625	4.08984375	4.12109375	4.125	3.67578125	3.947265625	3.73828125	4.3359375
ABCA5	6.94140625	7.11328125	6.98828125	7.234375	6.49609375	7.01171875	7.95703125	7.5	7.8515625	6.51171875
ABCA6	3.607421875	3.630859375	3.57421875	3.5078125	3.86328125	3.521484375	3.935546875	3.458984375	3.787109375	3.724609375
ABCA7	5.91796875	6.36328125	6.14453125	6.19140625	6.16015625	6.3515625	6.08984375	6.359375	6.52734375	6.50390625
ABCA8	4.32421875	3.517578125	3.509765625	3.63671875	3.689453125	3.6953125	5.046875	3.5859375	3.6953125	4.1875
ABCA9	3.671875	3.421875	3.53125	3.369140625	3.76953125	3.76171875	3.705078125	3.515625	3.560546875	3.51171875
ABCB1	8.8125	8.3828125	9.0390625	8.1875	7.78515625	8.2265625	8.3515625	7.91796875	8.7890625	7.63671875
ABCB10	7.27734375	7.18359375	7.2265625	7.3515625	7.78515625	7.375	7.1640625	7.42578125	7.4140625	7.30859375
ABCB11	3.833984375	3.921875	3.62890625	3.119140625	3.44921875	3.4375	3.462890625	3.509765625	3.404296875	4.03515625
ABCB4	5.11328125	4.53125	4.1484375	4.0546875	4.25390625	4.3359375	4.39453125	3.853515625	4.37109375	4.3203125
ABCB5	2.6640625	3.10546875	2.8046875	2.86328125	2.82421875	3.2890625	2.939453125	3.16796875	3.185546875	2.880859375
ABCB6	7.03125	6.03125	7.33984375	6.81640625	5.984375	6.83984375	7.0234375	6.77734375	6.76953125	7.10546875
ABCB7	7.8046875	7.3984375	7.8203125	7.5625	7.48828125	7.89453125	7.9140625	7.76171875	7.7109375	7.33984375
ABCB8	7.01171875	6.60546875	7.21875	6.9765625	6.40234375	6.96875	7.10546875	6.81640625	7.078125	7.0625
ABCB9	5.67578125	5.71484375	5.60546875	5.63671875	5.88671875	5.765625	5.61328125	6.0390625	6.140625	5.7578125
ABCC1	7.29296875	7.55859375	7.09375	7.21875	6.94921875	7.5078125	7.75390625	7.2265625	7.0625	6.7265625
ABCC10	6.23046875	6.546875	6.6015625	6.69921875	6.0078125	6.50390625	6.45703125	6.9765625	6.6171875	6.546875
ABCC11	4.70703125	5.06640625	4.41015625	4.63671875	4.62890625	4.7421875	4.70703125	4.49609375	4.93359375	4.9609375
ABCC12	3.81640625	3.802734375	3.87890625	3.865234375	3.994140625	3.962890625	3.876953125	3.89453125	3.92578125	4.296875
ABCC13	3.341796875	3.47265625	3.048828125	3.36328125	3.44140625	3.40234375	3.78125	3.259765625	3.6015625	3.509765625
ABCC2	4.78515625	4.75390625	4.93359375	4.8671875	5.15625	4.80078125	4.671875	4.87109375	4.53515625	5.9375
ABCC3	7.5859375	7.7265625	7.79296875	8.0859375	6.3125	7.8203125	6.86328125	8.515625	7.234375	7.9765625
ABCC4	6.453125	6.19140625	6.609375	6.47265625	6.75	6.8203125	6.55859375	6.8828125	6.34765625	6.33203125
ABCC5	6.33203125	6.703125	6.984375	6.6015625	7.3125	6.796875	7.30859375	6.609375	7.421875	6.06640625
ABCC6	5.52734375	5.8984375	5.23046875	5.44140625	5.4609375	5.72265625	5.265625	5.75	5.81640625	6.0
ABCC6P2	7.20703125	7.10546875	7.07421875	6.93359375	7.4140625	6.93359375	6.76171875	7.01953125	7.21484375	6.91015625
ABCC8	9.25	9.6015625	10.3125	10.3125	8.265625	9.78125	10.1171875	10.3828125	11.2265625	9.1875
ABCC9	8.0625	6.97265625	7.43359375	7.08984375	6.9921875	7.5234375	7.96875	6.23046875	9.15625	6.078125
ABCD1	5.88671875	6.20703125	5.9921875	5.83984375	5.81640625	6.21875	5.98046875	5.9296875	6.1640625	6.21875
ABCD2	3.8828125	3.8515625	3.89453125	4.0546875	3.82421875	3.673828125	4.42578125	4.04296875	3.732421875	4.0390625
ABCD3	10.703125	10.0703125	10.40625	10.515625	8.3359375	10.34375	10.3125	10.484375	10.7265625	10.3828125
ABCD4	6.734375	6.6171875	6.9921875	7.01953125	6.75	6.5859375	6.73828125	7.375	6.87890625	7.234375
ABCE1	8.9765625	8.6171875	8.7890625	8.7890625	8.8203125	9.09375	9.09375	8.8046875	8.4296875	8.5390625
ABCF2	8.1328125	8.046875	8.140625	7.6328125	7.515625	8.0546875	7.859375	7.5703125	7.5625	7.7109375
ABCF3	8.1875	8.1875	8.3671875	8.0859375	8.234375	8.3046875	8.390625	7.99609375	8.484375	7.6640625
