Sample_geo_accession	Condition	Group
GSM4861258	atrial cardio myofibroblast + vehicle	fibroblast
GSM4861259	atrial cardio myofibroblast + vehicle	fibroblast
GSM4861260	atrial cardio myofibroblast + vehicle	fibroblast
GSM4861261	atrial cardio myofibroblast + high phosphate	fibroblast
GSM4861262	atrial cardio myofibroblast + high phosphate	fibroblast
GSM4861263	atrial cardio myofibroblast + high phosphate	fibroblast
GSM4861264	atrial cardio myofibroblast + high phosphate and calcium	fibroblast
GSM4861265	atrial cardio myofibroblast + high phosphate and calcium	fibroblast
GSM4861266	atrial cardio myofibroblast + high phosphate and calcium	fibroblast
GSM4861267	Human Hypertension	heart tissue
GSM4861268	Human Hypertension	heart tissue
GSM4861269	Human Hypertension	heart tissue
GSM4861270	Human Hypertension	heart tissue
GSM4861271	Human Hypertension	heart tissue
GSM4861272	Human Hypertension	heart tissue
GSM4861273	Human Hypertension	heart tissue
GSM4861274	Human Hypertension	heart tissue
GSM4861275	Human Hypertension	heart tissue
GSM4861276	Human Hypertension	heart tissue
GSM4861277	Ventricule cardio-myofibroblast + high calcium	fibroblast
GSM4861278	Ventricule cardio-myofibroblast + high calcium	fibroblast
GSM4861279	Ventricule cardio-myofibroblast + high calcium	fibroblast
GSM4861280	Ventricule cardio-myofibroblast + vehicle	fibroblast
GSM4861281	Ventricule cardio-myofibroblast + vehicle	fibroblast
GSM4861282	Ventricule cardio-myofibroblast + vehicle	fibroblast
GSM4861283	Ventricule cardio-myofibroblast + high phosphate	fibroblast
GSM4861284	Ventricule cardio-myofibroblast + high phosphate	fibroblast
GSM4861285	Ventricule cardio-myofibroblast + high phosphate	fibroblast
GSM4861286	Ventricule cardio-myofibroblast + high phosphate and calcium	fibroblast
GSM4861287	Ventricule cardio-myofibroblast + high phosphate and calcium	fibroblast
GSM4861288	Human healthy control	heart tissue
GSM4861289	Human healthy control	heart tissue
GSM4861290	Human healthy control	heart tissue
GSM4861291	Human healthy control	heart tissue
GSM4861292	Human healthy control	heart tissue
GSM4861293	Human healthy control	heart tissue
GSM4861294	Human healthy control	heart tissue
GSM4861295	Human healthy control	heart tissue
GSM4861296	Human Peritoneal dialysis	heart tissue
GSM4861297	Human Peritoneal dialysis	heart tissue
GSM4861298	Human Peritoneal dialysis	heart tissue
GSM4861299	Human Hemodialysis	heart tissue
GSM4861300	Human Hemodialysis	heart tissue
GSM4861301	Human Hemodialysis	heart tissue
GSM4861302	Human Hemodialysis	heart tissue
GSM4861303	Human Hemodialysis	heart tissue
GSM4861304	Human Hemodialysis	heart tissue
GSM4861305	Human Hemodialysis	heart tissue
GSM4861306	Human Hemodialysis	heart tissue
GSM4861307	Human Hemodialysis	heart tissue
GSM4861308	Human Hemodialysis	heart tissue
GSM4861309	Human Hemodialysis	heart tissue
GSM4861310	Human Hemodialysis	heart tissue
GSM4861311	Human Hemodialysis	heart tissue
GSM4861312	Human Hemodialysis	heart tissue
GSM4861313	Human Hemodialysis	heart tissue
GSM4861314	Human Hemodialysis	heart tissue
GSM4861315	Ventricule cardio-myofibroblast + high calcium	fibroblast
GSM4861316	Ventricule cardio-myofibroblast + high calcium	fibroblast
GSM4861317	Ventricule cardio-myofibroblast + high calcium	fibroblast
GSM4861318	Ventricule cardio-myofibroblast + vehicle	fibroblast
GSM4861319	Ventricule cardio-myofibroblast + vehicle	fibroblast
GSM4861320	Ventricule cardio-myofibroblast + vehicle	fibroblast
GSM4861321	Ventricule cardio-myofibroblast + high phosphate	fibroblast
GSM4861322	Ventricule cardio-myofibroblast + high phosphate	fibroblast
GSM4861323	Ventricule cardio-myofibroblast + high phosphate and calcium	fibroblast
GSM4861324	Ventricule cardio-myofibroblast + high phosphate and calcium	fibroblast
GSM4861325	Ventricule cardio-myofibroblast + high phosphate and calcium	fibroblast
