gene_symbol	GSM1429399	GSM1429393	GSM1429397	GSM1429384	GSM1429383	GSM1429400	GSM1429396	GSM1429394	GSM1429385	GSM1429387	GSM1429395	GSM1429398	GSM1429392	GSM1429388	GSM1429401	GSM1429386	GSM1429390	GSM1429382	GSM1429389	GSM1429391
0610007P14Rik	7.6015625	7.6015625	7.80078125	8.0	8.1015625	7.69921875	7.80078125	7.69921875	8.0	8.1015625	7.19921875	7.69921875	7.5	8.0	7.69921875	8.0	7.80078125	7.8984375	7.80078125	7.80078125
0610009B22Rik	6.6015625	6.3984375	7.0	7.1015625	7.1015625	6.30078125	6.19921875	6.6015625	6.69921875	6.80078125	6.19921875	6.6015625	6.5	6.69921875	6.8984375	6.80078125	6.6015625	7.0	6.80078125	6.69921875
0610009L18Rik	7.30078125	7.6015625	7.19921875	7.5	7.6015625	7.19921875	7.30078125	7.5	7.6015625	7.69921875	7.6015625	7.0	7.5	7.69921875	7.30078125	7.6015625	7.6015625	7.69921875	7.6015625	7.6015625
0610009O20Rik	7.8984375	8.203125	7.3984375	8.203125	8.203125	7.6015625	7.80078125	8.1015625	8.1015625	8.203125	7.8984375	7.8984375	8.1015625	8.0	7.69921875	8.203125	8.203125	8.296875	8.1015625	8.0
0610010F05Rik	6.8984375	7.0	7.0	7.1015625	6.8984375	6.80078125	6.69921875	7.0	6.8984375	6.8984375	6.8984375	7.19921875	6.80078125	6.8984375	6.8984375	6.8984375	7.0	7.1015625	6.69921875	7.30078125
0610010K14Rik	8.203125	8.1015625	8.1015625	8.5	8.3984375	8.203125	8.1015625	8.296875	8.5	8.296875	7.8984375	8.296875	8.203125	8.296875	8.1015625	8.296875	8.296875	8.5	8.1015625	8.6015625
0610011F06Rik	8.1015625	8.1015625	8.5	8.796875	8.8984375	8.5	8.3984375	8.1015625	8.703125	8.703125	7.5	8.296875	8.0	8.6015625	8.6015625	8.3984375	8.203125	8.703125	8.6015625	8.296875
0610012G03Rik	6.69921875	6.80078125	7.0	7.19921875	7.30078125	6.8984375	6.8984375	6.8984375	7.30078125	7.19921875	6.6015625	6.69921875	7.1015625	7.0	7.1015625	7.1015625	7.1015625	7.30078125	7.1015625	7.1015625
0610025J13Rik	5.69921875	5.80078125	5.3984375	5.80078125	5.5	5.5	5.3984375	6.0	5.8984375	5.5	5.69921875	5.30078125	5.80078125	6.0	5.19921875	5.80078125	5.8984375	5.8984375	6.0	5.69921875
0610030E20Rik	7.19921875	7.1015625	7.0	6.8984375	7.19921875	7.0	7.30078125	6.8984375	7.1015625	7.1015625	7.0	7.30078125	7.1015625	7.0	7.1015625	7.1015625	6.8984375	6.8984375	6.8984375	6.6015625
0610037L13Rik	7.5	7.69921875	7.80078125	7.80078125	8.0	7.6015625	7.69921875	7.69921875	7.8984375	8.0	7.5	7.69921875	7.6015625	7.80078125	7.80078125	7.80078125	7.6015625	7.8984375	7.80078125	7.69921875
0610038B21Rik	5.5	5.80078125	5.80078125	5.5	5.6015625	5.69921875	5.5	5.69921875	5.69921875	5.5	5.69921875	5.5	5.80078125	5.69921875	5.30078125	5.6015625	5.6015625	5.6015625	5.6015625	5.30078125
